證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","16168656","1619067920","100.80","101.00","99.55","99.75","-1.3500","18345"
"0051","元大中型100","18768","935032","49.68","49.87","49.68","49.68","-0.1200","147"
"0052","富邦科技","120032","10124718","85.15","85.15","83.70","83.70","-1.3500","363"
"0053","元大電子","1032","51084","49.50","49.50","49.50","49.50","-0.0100","4"
"0055","元大MSCI金融","188976","3886063","20.73","20.73","20.40","20.43","-0.2500","389"
"0056","元大高股息","181769611","4348857123","23.93","24.08","23.70","23.95","0.0000","89853"
"0057","富邦摩台","1973","141426","72.25","72.25","72.25","72.25","0.1000","872"
"0061","元大寶滬深","402031","7310720","18.33","18.42","18.14","18.16","-0.2600","779"
"006203","元大MSCI台灣","12117","594999","49.29","49.29","48.78","48.78","-0.2200","813"
"006204","永豐臺灣加權","28286","1842502","65.45","65.60","65.00","65.00","0.0000","1047"
"006205","富邦上証","1195981","36155808","30.73","30.74","30.10","30.12","-0.6200","1070"
"006206","元大上證50","149768","4307806","29.25","29.33","28.63","28.63","-0.7500","1034"
"006207","FH滬深","164198","3937578","24.01","24.22","23.72","23.72","-0.4900","999"
"006208","富邦台50","4351582","251035385","58.00","58.10","57.25","57.25","-0.7500","5650"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","9540351","755480060","78.90","79.90","77.70","77.80","-1.3500","3770"
"00632R","元大台灣50反1","168413983","1095716635","6.50","6.56","6.46","6.56","0.0600","6051"
"00633L","富邦上証正2","7231274","278976481","39.21","39.45","37.93","37.95","-1.2600","2097"
"00634R","富邦上証反1","936201","4482126","4.74","4.82","4.74","4.82","0.1000","111"
"00635U","期元大S&P黃金","319793","6910055","21.64","21.68","21.57","21.59","-0.1600","122"
"00636","國泰中國A50","2233808","46090352","20.96","21.02","20.57","20.57","-0.4500","1549"
"00636K","國泰中國A50+U","200","1290","6.45","6.45","6.45","6.45","-0.1600","2"
"00637L","元大滬深300正2","67746340","1028495336","15.40","15.48","14.87","14.87","-0.5200","9309"
"00638R","元大滬深300反1","425000","4350400","10.21","10.35","10.16","10.35","0.1700","90"
"00639","富邦深100","945098","11800315","12.72","12.72","12.42","12.44","-0.2900","492"
"00640L","富邦日本正2","398112","10896219","27.40","27.46","27.24","27.36","0.1800","66"
"00641R","富邦日本反1","540000","5362760","9.92","9.95","9.92","9.95","-0.0100","103"
"00642U","期元大S&P石油","2877087","51159087","17.82","17.85","17.74","17.75","-0.4900","938"
"00643","群益深証中小","296816","4447548","15.10","15.12","14.86","14.86","-0.2500","901"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","90947","2310476","25.45","25.45","25.35","25.39","-0.0100","866"
"00646","元大S&P500","619478","22946321","37.06","37.16","36.95","36.95","0.0800","531"
"00647L","元大S&P500正2","421359","20687024","49.19","49.34","48.95","48.96","0.1800","163"
"00648R","元大S&P500反1","3481100","27584585","7.91","7.95","7.89","7.95","0.0000","334"
"00650L","FH香港正2","4611210","48880882","10.60","10.77","10.43","10.44","-0.1900","736"
"00651R","FH香港反1","458000","4776630","10.47","10.52","10.34","10.52","0.1500","50"
"00652","富邦印度","142843","4288141","29.96","30.12","29.96","30.12","0.1700","380"
"00653L","富邦印度正2","463077","20509548","44.06","44.55","44.05","44.48","0.4400","137"
"00654R","富邦印度反1","667000","5466230","8.19","8.22","8.18","8.18","-0.0100","87"
"00655L","國泰中國A50正2","2447833","65934667","27.35","27.55","26.50","26.50","-0.9300","766"
"00656R","國泰中國A50反1","322000","2923120","8.99","9.15","8.99","9.15","0.1700","30"
"00657","國泰日經225","3707","116753","31.77","31.77","31.57","31.57","0.0100","699"
"00657K","國泰日經225+U","200","1978","9.89","9.89","9.89","9.89","0.0400","2"
"00660","元大歐洲50","611","14946","","","","","0.0000","611"
"00661","元大日經225","1722","58508","34.30","34.30","34.30","34.30","0.0000","713"
"00662","富邦NASDAQ","428636","19919990","46.58","46.64","46.30","46.30","-0.0400","302"
"00663L","國泰臺灣加權正2","100100","7252798","72.60","73.15","71.60","71.60","-1.2000","32"
"00664R","國泰臺灣加權反1","4967013","36504291","7.34","7.40","7.31","7.40","0.0600","448"
"00665L","富邦恒生國企正2","6507801","44324199","6.82","6.95","6.69","6.69","-0.1600","585"
"00666R","富邦恒生國企反1","170000","3145370","18.36","18.60","18.33","18.60","0.2200","22"
"00668","國泰美國道瓊","102258","3641250","35.61","35.67","35.54","35.58","0.1200","872"
"00668K","國泰美國道瓊+U","200","2226","11.13","11.13","11.13","11.13","0.0400","2"
"00669R","國泰美國道瓊反1","7532000","66223470","8.77","8.81","8.76","8.81","-0.0100","585"
"00670L","富邦NASDAQ正2","3891565","208393954","53.75","54.00","53.20","53.20","-0.3000","1250"
"00671R","富邦NASDAQ反1","19783400","129072004","6.51","6.56","6.50","6.56","0.0400","1123"
"00673R","期元大S&P原油反1","44770362","389147858","8.66","8.73","8.66","8.73","0.2200","3088"
"00674R","期元大S&P黃金反1","1790000","25625940","14.32","14.36","14.30","14.36","0.0800","219"
"00675L","富邦臺灣加權正2","1469917","46379017","31.62","32.05","31.20","31.25","-0.5000","760"
"00676R","富邦臺灣加權反1","11082478","44718538","4.03","4.06","4.00","4.06","0.0300","578"
"00678","群益NBI生技","74867","1921814","25.69","25.70","25.66","25.67","-0.0900","441"
"00680L","元大美債20正2","1237517","13505531","10.99","10.99","10.88","10.90","-0.1400","214"
"00681R","元大美債20反1","353300","6933431","19.56","19.64","19.56","19.64","0.1500","54"
"00682U","期元大美元指數","84308","1881262","22.28","22.35","22.28","22.35","0.0700","49"
"00683L","期元大美元指正2","1308000","33294630","25.30","25.53","25.30","25.53","0.2000","259"
"00684R","期元大美元指反1","38000","570570","15.04","15.04","15.00","15.00","-0.0600","19"
"00685L","群益臺灣加權正2","108000","3018740","28.05","28.34","27.70","27.76","-0.4200","32"
"00686R","群益臺灣加權反1","242000","1058960","4.36","4.40","4.34","4.40","0.0300","37"
"00688L","國泰20年美債正2","423000","4579930","10.87","10.88","10.79","10.80","-0.1400","52"
"00689R","國泰20年美債反1","205000","4170580","20.32","20.39","20.32","20.38","0.1300","18"
"00690","兆豐藍籌30","103543","2575231","25.00","25.00","24.85","24.85","-0.2200","12"
"00692","富邦公司治理","3027275","75966534","25.28","25.32","25.00","25.02","-0.2400","1938"
"00693U","期街口S&P黃豆","103000","2577320","25.08","25.08","24.98","25.03","-0.0900","29"
"00700","富邦恒生國企","106100","1206327","11.49","11.49","11.35","11.36","-0.0400","17"
"00701","國泰股利精選30","1169565","25229988","21.68","21.73","21.46","21.51","-0.1700","811"
"00702","國泰標普低波高息","277612","5805766","20.94","21.00","20.87","20.87","-0.0500","884"
"00703","台新MSCI中國","34000","477200","14.10","14.14","14.00","14.00","-0.1300","13"
"00706L","期元大S&P日圓正2","2616050","21986580","8.41","8.42","8.39","8.40","-0.0500","363"
"00707R","期元大S&P日圓反1","16000","428090","26.76","26.76","26.75","26.75","0.0000","7"
"00708L","期元大S&P黃金正2","583023","12229523","21.08","21.08","20.88","20.90","-0.3500","203"
"00709","富邦歐洲","142954","2940586","20.62","20.64","20.55","20.62","0.1400","982"
"00710B","FH彭博非投等債","252068","4578717","18.13","18.19","18.13","18.17","0.0600","122"
"00711B","FH彭博新興債","136112","2043568","15.01","15.06","15.01","15.06","0.0700","975"
"00712","FH富時不動產","2843462","27221983","9.60","9.61","9.54","9.57","0.0800","1525"
"00713","元大台灣高息低波","1949390","70371934","35.96","36.29","35.95","36.03","0.0300","750"
"00714","群益道瓊美國地產","180430","3307144","18.32","18.35","18.29","18.33","0.0000","169"
"00715L","期街口布蘭特正2","15369985","271042375","17.75","17.76","17.55","17.55","-0.7300","3248"
"00717","富邦美國特別股","258444","3838300","14.90","14.91","14.84","14.86","0.0000","1027"
"00728","第一金工業30","274612","5482927","19.97","20.09","19.84","19.84","-0.1300","292"
"00730","富邦臺灣優質高息","547079","8354765","15.24","15.35","15.17","15.25","0.0000","422"
"00731","FH富時高息低波","1071340","56977060","53.20","53.60","53.00","53.10","-0.1000","186"
"00732","國泰RMB短期報酬","100370","4111799","40.97","40.97","40.97","40.97","-0.1000","7"
"00733","富邦臺灣中小","269967","8107753","30.12","30.32","29.86","29.86","0.0000","355"
"00735","國泰臺韓科技","111000","2498610","22.51","22.51","22.51","22.51","-0.1500","4"
"00736","國泰新興市場","103001","1875407","18.10","18.21","18.09","18.20","0.0200","6"
"00737","國泰AI+Robo","36844","898500","24.46","24.46","24.34","24.34","0.1000","771"
"00738U","期元大道瓊白銀","685001","12958068","18.97","19.01","18.85","18.85","-0.1900","172"
"00739","元大MSCI A股","9920","225601","23.28","23.28","22.67","22.67","0.0000","928"
"00752","中信中國50","785561","12475979","15.96","16.09","15.80","15.80","-0.1600","269"
"00753L","中信中國50正2","5141604","45075009","8.79","8.93","8.60","8.60","-0.2400","773"
"00757","統一FANG+","593547","21732893","36.40","36.73","36.40","36.51","0.3900","377"
"00762","元大全球AI","43443","1316667","30.26","30.38","30.26","30.30","0.1100","42"
"00763U","期街口道瓊銅","41033","891162","21.76","21.81","21.60","21.60","-0.5700","24"
"00770","國泰北美科技","132982","3797661","28.62","28.62","28.51","28.57","0.0500","953"
"00771","元大US高息特別股","3779","62942","16.94","16.94","16.94","16.94","-0.0200","1060"
"00774B","新光中國政金綠債","2045","85709","41.92","41.92","41.92","41.92","-0.0800","4"
"00774C","新光中政金綠債+R","","","","","","","0.0000",""
"00775B","新光投等債15+","51721","1659506","32.10","32.15","32.10","32.15","0.0100","696"
"00783","富邦中証500","65004","1336381","20.56","20.56","20.54","20.54","-0.1300","9"
"00830","國泰費城半導體","3654432","76633808","21.05","21.05","20.88","20.88","-0.2300","1376"
"00850","元大臺灣ESG永續","230313","6277942","27.38","27.46","27.11","27.11","-0.2900","461"
"00851","台新全球AI","45275","1066760","23.67","23.68","23.56","23.57","0.0700","894"
"00852L","國泰美國道瓊正2","2622100","44705101","17.08","17.14","17.00","17.01","0.0500","386"
"00861","元大全球未來通訊","47019","1156256","24.66","24.66","24.50","24.50","-0.0500","103"
"00865B","國泰US短期公債","131492","5472662","41.49","41.64","41.49","41.64","0.1500","503"
"00875","國泰網路資安","184092","4806280","26.12","26.18","26.00","26.00","0.2400","113"
"00876","元大全球5G","285820","6488526","22.70","22.73","22.59","22.59","0.0000","162"
"00878","國泰永續高股息","35713103","558836603","15.62","15.74","15.60","15.60","-0.0100","16663"
"00881","國泰台灣5G+","9583076","121403224","12.74","12.78","12.60","12.60","-0.1400","2841"
"00882","中信中國高股息","4474530","48848378","10.88","10.99","10.83","10.88","0.0500","1226"
"00885","富邦越南","10952394","135721707","12.48","12.54","12.30","12.34","-0.1300","2625"
"00891","中信關鍵半導體","7281182","71507391","9.85","9.92","9.74","9.74","-0.1000","2047"
"00892","富邦台灣半導體","5406072","48772038","9.01","9.09","8.96","8.98","-0.0300","899"
"00893","國泰智能電動車","11743118","134108802","11.41","11.47","11.36","11.36","-0.0500","2127"
"00894","中信小資高價30","1332106","13505051","10.10","10.23","10.06","10.07","-0.0800","321"
"00895","富邦未來車","2674843","33280224","12.47","12.50","12.39","12.39","-0.0400","593"
"00896","中信綠能及電動車","1544547","18890286","12.20","12.31","12.19","12.20","-0.0400","491"
"00897","富邦基因免疫生技","1965068","18158775","9.24","9.26","9.20","9.20","-0.0700","183"
"00898","國泰基因免疫革命","330081","2459304","7.43","7.50","7.40","7.40","-0.0700","163"
"00899","FT潔淨能源","128819","2728289","21.30","21.30","21.13","21.13","0.1100","117"
"00900","富邦特選高股息30","8134657","80843764","9.91","9.99","9.88","9.90","0.0100","2353"
"00901","永豐智能車供應鏈","481797","5330981","11.10","11.16","11.01","11.03","-0.0700","249"
"00902","中信電池及儲能","4149114","55421988","13.24","13.44","13.24","13.27","0.0300","705"
"00903","富邦元宇宙","3727342","33992224","9.13","9.16","9.07","9.07","-0.0100","618"
"00904","新光臺灣半導體30","1097005","10326699","9.47","9.50","9.35","9.36","-0.1100","490"
"00905","FT臺灣Smart","250847","1943364","7.78","7.80","7.70","7.71","-0.0500","282"
"00906","大華元宇宙科技50","12001","105348","8.92","8.92","8.73","8.90","0.0800","13"
"00907","永豐優息存股","1761756","23353736","13.30","13.36","13.21","13.22","0.0000","642"
"00908","富邦入息REITs+","825665","10605680","12.81","12.89","12.80","12.80","0.0000","153"
"00909","國泰數位支付服務","844488","13712389","16.25","16.28","16.16","16.16","-0.0700","176"
"00910","第一金太空衛星","70110","1007198","14.35","14.38","14.34","14.37","0.1200","21"
"00911","兆豐洲際半導體","129050","1736672","13.56","13.56","13.42","13.43","-0.1300","10"
"00912","中信臺灣智慧50","1749556","21373526","12.28","12.32","12.14","12.16","0.0000","336"
"00913","兆豐台灣晶圓製造","150247","1879379","12.61","12.61","12.46","12.49","-0.1300","18"
"00915","凱基優選高股息30","717027","10026156","13.96","14.03","13.93","13.93","0.0100","233"
"00916","國泰全球品牌50","3760350","56574889","15.03","15.09","15.00","15.00","-0.0100","671"
"00917","中信特選金融","1524736","21890168","14.38","14.40","14.33","14.33","0.0800","180"
"01001T","土銀富邦R1","","","","","","","0.0000",""
"01002T","土銀國泰R1","","","","","","","0.0000",""
"01003T","兆豐新光R1","50000","1064800","21.30","21.30","21.10","21.30","0.0000","6"
"01004T","土銀富邦R2","100000","1597000","15.97","15.97","15.97","15.97","-0.0300","1"
"01007T","兆豐國泰R2","19000","352270","18.54","18.87","18.11","18.87","0.0000","6"
"01009T","王道圓滿R1","1000","8700","8.70","8.70","8.70","8.70","0.0000","1"
"01010T","京城樂富R1","27000","271720","10.06","10.08","10.06","10.08","-0.0100","3"
"020000","富邦特選蘋果N","","","","","","","0.0000",""
"020002","元富新中國N","","","","","","","0.0000",""
"020007","凱基臺灣500N","","","","","","","0.0000",""
"020011","統一微波高息20N","","","","","","","0.0000",""
"020012","富邦行動通訊N","","","","","","","0.0000",""
"020015","統一MSCI美低波N","","","","","","","0.0000",""
"020016","統一MSCI美科技N","2000","30720","15.36","15.36","15.36","15.36","0.0000","1"
"020018","統一價值成長30N","1000","12920","12.92","12.92","12.92","12.92","0.0000","1"
"020019","統一特選台灣5GN","5000","51940","10.41","10.41","10.30","10.30","0.0000","2"
"02001L","富邦蘋果正二N","7000","49150","7.03","7.03","6.99","6.99","-0.0100","3"
"02001R","富邦蘋果反一N","10000","34600","3.46","3.46","3.46","3.46","0.0200","1"
"020020","元大台股領航N","26000","148900","5.75","5.75","5.71","5.71","-0.0400","14"
"020022","元大電動車N","185000","930280","5.02","5.04","5.02","5.03","0.0200","40"
"020028","元大特選電動車N","75000","363410","4.83","4.86","4.83","4.84","0.0100","17"
"020029","元大ESG高股息N","156000","622290","4.00","4.02","3.97","3.98","-0.0200","36"
"020030","統一智慧電動車N","13000","44960","3.48","3.48","3.44","3.44","-0.0100","7"
"020031","統一IC設計臺灣N","289000","842350","2.91","2.92","2.89","2.90","0.0100","21"
"020032","元大綠能N","24000","106370","4.46","4.46","4.41","4.41","0.0000","8"
"020034","元大IC設計N","179000","605410","3.40","3.41","3.34","3.34","-0.0200","26"
"1101","台泥","38895385","1235711494","31.45","32.05","31.40","31.60","0.1500","14584"
"1101B","台泥乙特","17181","843021","48.75","49.20","48.60","49.20","-0.0500","11"
"1102","亞泥","7956454","303994481","37.70","38.55","37.65","37.95","0.2500","4384"
"1103","嘉泥","241711","3927691","16.20","16.40","16.10","16.25","-0.1500","151"
"1104","環泥","283615","5672865","20.00","20.10","19.90","19.90","-0.1500","189"
"1108","幸福","141436","1454977","10.20","10.35","10.20","10.30","0.0500","74"
"1109","信大","119630","1888453","15.80","15.85","15.65","15.85","0.0500","94"
"1110","東泥","188000","3213100","16.90","17.30","16.90","17.20","0.0000","71"
"1201","味全","170711","3172026","18.60","18.65","18.40","18.60","0.0000","228"
"1203","味王","4319","141539","32.75","32.80","32.75","32.80","0.7000","18"
"1210","大成","652376","28700514","44.10","44.20","43.75","43.85","-0.2500","1009"
"1213","大飲","4005","27584","6.88","6.91","6.88","6.91","-0.0800","4"
"1215","卜蜂","246812","19170038","77.70","78.00","77.40","77.80","0.1000","405"
"1216","統一","6629063","432951529","65.40","65.70","65.10","65.30","0.0000","3219"
"1217","愛之味","413088","3760718","9.17","9.19","9.04","9.06","-0.1100","287"
"1218","泰山","667943","24447891","36.70","37.10","36.25","36.45","-0.3000","452"
"1219","福壽","706393","13482128","19.20","19.30","18.95","19.00","-0.1500","266"
"1220","台榮","67418","924232","13.70","13.80","13.65","13.70","0.0000","64"
"1225","福懋油","79198","4178608","52.50","53.00","52.10","52.60","-0.5000","43"
"1227","佳格","410150","15732186","38.15","38.50","38.15","38.30","0.1500","349"
"1229","聯華","938587","45228365","48.10","48.90","47.70","47.95","-0.0500","1141"
"1231","聯華食","109732","7332103","66.70","67.50","66.20","66.50","-0.2000","295"
"1232","大統益","42927","6381686","149.50","149.50","148.00","148.00","-1.5000","282"
"1233","天仁","7000","226200","32.35","32.35","32.20","32.20","-0.1000","7"
"1234","黑松","163791","5397110","32.95","33.20","32.75","32.90","-0.1000","155"
"1235","興泰","59102","3777268","63.80","64.50","62.40","64.30","0.6000","29"
"1236","宏亞","106278","1982442","18.70","19.30","18.35","18.35","-0.3500","93"
"1256","鮮活果汁-KY","14039","3089343","221.50","222.00","218.00","218.00","-4.0000","217"
"1301","台塑","11694570","943429599","80.70","81.30","80.20","80.20","-0.7000","4888"
"1303","南亞","8324788","552961605","66.00","67.00","65.80","66.10","-0.7000","5798"
"1304","台聚","3478656","73835902","21.30","21.65","20.80","21.05","0.0500","2336"
"1305","華夏","597769","11979211","19.70","20.25","19.70","19.85","-0.1000","453"
"1307","三芳","87086","1748074","19.95","20.15","19.95","20.15","0.0500","45"
"1308","亞聚","1220705","29874516","24.55","24.70","24.20","24.55","0.0500","606"
"1309","台達化","439252","8557476","19.50","19.70","19.20","19.35","-0.1500","357"
"1310","台苯","413317","5263567","12.75","12.85","12.60","12.75","0.0000","349"
"1312","國喬","1846340","32292234","17.45","17.70","17.25","17.35","-0.1000","893"
"1312A","國喬特","1000","27700","27.70","27.70","27.70","27.70","0.7000","1"
"1313","聯成","1250849","15390107","12.25","12.45","12.10","12.20","-0.0500","616"
"1314","中石化","7881583","73145293","9.32","9.40","9.18","9.19","-0.0900","2550"
"1315","達新","24099","1589558","66.30","66.30","65.50","66.20","-0.1000","30"
"1316","上曜","1381884","16173946","11.70","11.95","11.55","11.60","-0.1000","743"
"1319","東陽","2961596","141959110","48.10","48.50","47.50","47.60","-0.6000","2130"
"1321","大洋","106220","3612698","34.15","34.20","33.55","33.55","-0.6500","103"
"1323","永裕","61000","2016350","33.10","33.20","32.90","33.20","0.1500","25"
"1324","地球","30612","321162","10.40","10.55","10.40","10.50","0.1500","39"
"1325","恆大","121301","2710700","22.15","22.75","22.10","22.20","-0.1000","90"
"1326","台化","3586309","244075566","67.80","68.50","67.20","68.10","0.0000","2226"
"1337","再生-KY","1220254","9212967","7.72","7.80","7.45","7.48","-0.2400","848"
"1338","廣華-KY","127564","6245675","49.50","49.50","48.60","48.65","-0.6000","197"
"1339","昭輝","142635","5207517","36.80","36.90","36.15","36.15","-0.6000","129"
"1340","勝悅-KY","40734","404670","10.00","10.00","9.90","9.95","-0.0500","120"
"1341","富林-KY","10002","661128","66.20","66.20","66.00","66.00","-0.3000","6"
"1342","八貫","7116493","640381216","85.00","93.40","84.10","92.80","7.5000","5773"
"1402","遠東新","8799155","272550840","30.65","31.15","30.50","31.00","0.1500","2943"
"1409","新纖","1337961","21369792","16.00","16.10","15.85","15.90","-0.1000","889"
"1410","南染","372139","14846126","39.75","40.25","39.50","39.85","0.3500","310"
"1413","宏洲","396101","3965084","10.15","10.25","9.97","10.00","-0.2500","91"
"1414","東和","106371","1819924","16.90","17.25","16.85","17.15","0.0000","89"
"1416","廣豐","116390","1184513","10.35","10.35","10.10","10.15","-0.1000","220"
"1417","嘉裕","170655","1801320","10.60","10.65","10.45","10.55","0.0000","100"
"1418","東華","23044","320953","13.85","14.00","13.85","14.00","-0.2000","11"
"1419","新紡","48097","1870207","38.75","39.20","38.60","39.10","-0.1000","49"
"1423","利華","34208","657430","19.30","19.30","19.15","19.30","-0.1000","20"
"1432","大魯閣","130525","1506991","11.55","11.60","11.45","11.55","0.1000","113"
"1434","福懋","759304","19750062","25.95","26.15","25.90","25.90","-0.1000","601"
"1436","華友聯","68128","3740278","55.10","55.40","54.50","55.00","-0.6000","61"
"1437","勤益控","55285","1346820","24.35","24.40","24.30","24.35","0.1000","30"
"1438","三地開發","18029","543817","30.30","30.60","29.65","29.85","-0.1000","19"
"1439","雋揚","18000","353700","19.60","19.95","19.50","19.60","-0.2000","14"
"1440","南紡","995735","16397894","16.45","16.60","16.30","16.40","-0.0500","526"
"1441","大東","47222","373263","7.90","7.99","7.80","7.92","0.0400","80"
"1442","名軒","1063578","30994497","29.15","29.45","28.75","29.40","0.2500","482"
"1443","立益物流","36003","716059","19.80","20.15","19.75","19.75","-0.1000","31"
"1444","力麗","1803269","18568317","10.35","10.45","10.20","10.20","-0.2000","559"
"1445","大宇","50000","807300","16.15","16.15","16.10","16.15","0.0500","16"
"1446","宏和","74187","2122936","28.65","28.90","28.40","28.40","-0.1500","58"
"1447","力鵬","963951","7563618","7.90","7.96","7.79","7.80","-0.1000","294"
"1449","佳和","3001515","43012067","14.45","14.70","14.10","14.25","0.0500","1570"
"1451","年興","517650","11149892","21.75","21.75","21.30","21.45","-0.0500","232"
"1452","宏益","26598","452094","17.05","17.15","16.90","16.90","-0.1500","34"
"1453","大將","490568","7161384","14.60","14.90","14.30","14.50","-0.2000","368"
"1454","台富","56080","711300","12.25","12.95","12.25","12.60","0.0500","36"
"1455","集盛","617032","5960512","9.60","9.78","9.56","9.61","0.0100","438"
"1456","怡華","78000","1248850","15.85","16.25","15.85","16.20","0.4000","44"
"1457","宜進","742545","13861486","18.60","18.75","18.50","18.50","0.0000","284"
"1459","聯發","56399","461076","8.18","8.19","8.12","8.17","-0.0700","97"
"1460","宏遠","320650","2475867","7.72","7.78","7.65","7.68","-0.0200","158"
"1463","強盛","26000","361350","14.00","14.00","13.85","13.90","0.0000","17"
"1464","得力","208714","2892166","13.90","14.00","13.75","13.80","-0.1000","200"
"1465","偉全","87423","1144704","13.15","13.15","13.00","13.15","0.0500","36"
"1466","聚隆","16004","175596","11.05","11.05","10.85","11.05","0.0000","15"
"1467","南緯","2293910","26824396","11.65","11.80","11.60","11.80","0.0500","269"
"1468","昶和","40000","490700","12.30","12.35","12.20","12.35","0.0500","39"
"1470","大統新創","22001","387167","17.60","17.60","17.55","17.60","0.0000","10"
"1471","首利","422892","3051099","7.16","7.35","7.03","7.03","-0.1700","197"
"1472","三洋實業","2774","54430","19.15","19.80","19.15","19.80","0.0000","3"
"1473","台南","107864","1980052","18.40","18.55","18.25","18.35","0.0000","77"
"1474","弘裕","37104","401356","10.90","10.90","10.75","10.75","-0.0500","45"
"1475","業旺","50000","2523200","51.00","51.40","50.10","50.30","-0.8000","31"
"1476","儒鴻","1532645","643023220","409.00","423.50","405.00","419.00","12.0000","1599"
"1477","聚陽","2928497","594726155","197.50","206.00","197.50","201.50","5.0000","3479"
"1503","士電","310555","16709492","53.40","54.30","53.40","54.00","0.1000","273"
"1504","東元","1614410","44225140","27.45","27.60","27.20","27.20","-0.4000","995"
"1506","正道","218005","3449630","16.00","16.00","15.75","16.00","0.0000","92"
"1512","瑞利","463148","1861722","3.76","4.13","3.76","4.00","0.2400","148"
"1513","中興電","5352826","293949211","54.80","55.60","54.20","54.20","-0.2000","2861"
"1514","亞力","636167","16737758","26.50","26.60","26.00","26.10","-0.2000","495"
"1515","力山","290377","8493397","29.20","29.55","29.05","29.10","-0.1000","225"
"1516","川飛","204258","4681773","23.60","23.65","22.50","22.50","-0.8500","193"
"1517","利奇","1469011","33140722","22.65","22.90","22.25","22.25","-0.2500","748"
"1519","華城","1687007","68935834","41.60","41.60","40.45","40.65","-0.3500","1287"
"1521","大億","1074","36967","34.40","34.40","34.40","34.40","-0.1500","3"
"1522","堤維西","2169437","57081398","26.40","26.70","26.05","26.05","-0.4000","1053"
"1522A","堤維西甲特","","","","","","","0.0000",""
"1524","耿鼎","4117272","93623282","22.95","23.15","22.25","22.25","-0.6000","2216"
"1525","江申","20116","1091217","54.80","54.80","53.70","54.00","-0.4000","13"
"1526","日馳","391215","19479241","50.30","50.80","49.00","49.00","-1.3000","391"
"1527","鑽全","176743","6845125","38.60","38.95","38.25","38.25","-0.3000","136"
"1528","恩德","351748","3184423","9.09","9.20","9.01","9.06","-0.0300","157"
"1529","樂事綠能","1374865","24215245","17.65","18.00","17.45","17.50","-0.2000","625"
"1530","亞崴","24110","748040","31.20","31.20","30.50","30.50","-0.3500","17"
"1531","高林股","38202","504003","13.15","13.25","13.10","13.15","0.0000","95"
"1532","勤美","355840","9973258","28.05","28.25","27.90","28.05","-0.2000","294"
"1533","車王電","191247","9215094","48.10","48.75","47.70","47.75","-0.1000","180"
"1535","中宇","58000","2345250","40.30","40.45","40.30","40.45","0.0000","25"
"1536","和大","3941345","296720514","76.30","76.80","74.30","74.60","-2.3000","2869"
"1537","廣隆","112438","15220782","135.50","136.00","135.00","136.00","0.0000","147"
"1538","正峰","1","6","","","","","0.0000","1"
"1539","巨庭","1514438","42291137","27.90","28.70","27.20","27.20","-0.5500","969"
"1540","喬福","58008","861022","14.85","14.90","14.80","14.85","0.0000","42"
"1541","錩泰","7000","214750","30.70","30.90","30.60","30.90","0.2000","7"
"1558","伸興","57861","6565659","113.50","114.00","113.00","114.00","0.5000","106"
"1560","中砂","3084754","326987616","104.00","108.00","104.00","104.50","-0.5000","2282"
"1568","倉佑","221033","5177915","23.50","23.75","23.10","23.10","-0.2500","139"
"1582","信錦","86202","5210574","61.00","61.00","60.00","60.20","-0.3000","80"
"1583","程泰","71009","4400449","64.70","64.70","60.30","60.50","-2.7000","49"
"1587","吉茂","63341","1317443","20.95","21.00","20.65","20.65","-0.3000","56"
"1589","永冠-KY","724156","39384236","54.10","55.40","53.60","53.90","-0.7000","1002"
"1590","亞德客-KY","432264","314011167","716.00","736.00","716.00","731.00","7.0000","422"
"1597","直得","41007","2854901","70.30","70.30","69.10","69.90","-0.2000","91"
"1598","岱宇","63155","2363139","37.25","37.70","37.25","37.35","0.1000","57"
"1603","華電","252165","6469267","26.20","26.20","25.20","25.20","-0.6500","152"
"1604","聲寶","452663","11485960","25.35","25.85","25.10","25.60","-0.1000","435"
"1605","華新","23278334","833291533","35.60","36.35","35.40","35.50","-0.0500","11035"
"1608","華榮","424626","5183835","12.10","12.35","12.00","12.20","0.0500","249"
"1609","大亞","2036972","33804765","16.70","16.80","16.40","16.40","-0.1000","990"
"1611","中電","1112044","15955254","14.40","14.60","14.10","14.10","-0.2000","632"
"1612","宏泰","348828","4922279","14.10","14.25","13.95","14.00","-0.1000","237"
"1614","三洋電","277807","9523374","33.80","34.60","33.80","34.50","0.2500","36"
"1615","大山","20013","559859","28.35","28.35","27.70","27.95","0.0500","19"
"1616","億泰","80000","577290","7.20","7.24","7.12","7.23","0.0100","48"
"1617","榮星","12000","178200","15.00","15.00","14.75","14.80","-0.1000","10"
"1618","合機","259010","3419740","13.15","13.35","13.10","13.20","0.1000","121"
"1626","艾美特-KY","93339","1519445","16.55","16.55","16.15","16.20","0.1000","89"
"1701","中化","123277","2589923","20.95","21.15","20.85","20.90","-0.2000","104"
"1702","南僑","103444","4460390","43.40","43.45","42.90","42.90","-0.5000","152"
"1707","葡萄王","137005","17618987","128.50","129.00","127.50","127.50","-2.0000","183"
"1708","東鹼","3831074","151867531","39.65","40.30","39.20","39.50","0.2500","1986"
